Xi_estimate_Power,Xi_estimate_Width,Xi_estimate_Exponent,Alpha_estimate_Power,Alpha_estimate_Width,Alpha_estimate_Exponent,Alpha_estimate_PAF
7.818697395142237827e-01,9.397700484388105124e-01,9.141275643756295866e-01,7.869628037371371176e-01,8.317735559291112857e-01,8.304069859463004688e-01,8.316704280965128149e-01
8.428440514943147388e-01,9.187304845991549618e-01,9.392611251947468043e-01,7.653129117040217144e-01,8.148254742187946986e-01,8.144904639207631858e-01,8.146109080762188315e-01
8.428440514943150719e-01,9.187304845991554059e-01,9.392611251947466933e-01,7.653129117040218254e-01,8.148254742187948096e-01,8.144904639207634078e-01,8.146109080762191645e-01
8.451829813697694371e-01,9.198314776484092237e-01,9.415002073972302821e-01,7.646348933883805321e-01,8.144648636829868726e-01,8.141172945505381620e-01,8.142691866108349164e-01
8.630139030079301277e-01,9.150659341024620641e-01,9.383274369469213338e-01,7.765594302781886338e-01,8.172320052320725114e-01,8.151744194956409562e-01,8.167779569984354726e-01
8.451829813697692151e-01,9.198314776484090016e-01,9.415002073972301710e-01,7.646348933883805321e-01,8.144648636829869837e-01,8.141172945505381620e-01,8.142691866108346943e-01
7.911410170491360860e-01,9.296192512512262418e-01,9.308290461232535673e-01,7.718355851602255457e-01,8.198087270150867800e-01,8.207277427914528856e-01,8.201237756165784543e-01
8.508570288896369904e-01,9.227608857611868665e-01,9.403740189780399605e-01,7.626954528940831368e-01,8.133864203173137852e-01,8.137954428882480107e-01,8.133847778259640782e-01
8.655078031338520050e-01,9.230664139974077420e-01,9.418905359780874731e-01,7.576027068144595145e-01,8.052895673788225128e-01,8.049629682715482293e-01,8.051531009812431527e-01
8.488841607479262752e-01,9.350571975516380752e-01,9.020416855447357385e-01,7.749067459210881026e-01,8.137506206632789674e-01,8.112794158730607386e-01,8.135116245594116169e-01
8.514142023557212946e-01,9.359752849826262766e-01,9.030859324761950635e-01,7.254789566344018725e-01,7.755832730144951448e-01,7.736204236256797317e-01,7.754144065346070258e-01
8.469885844708296974e-01,9.348774743051779801e-01,9.020698864629036473e-01,7.262273928012878965e-01,7.759491526476961498e-01,7.738325108453093515e-01,7.757228995062923627e-01
8.570390997650338960e-01,9.384806624223521743e-01,9.032351149721252748e-01,7.238840909926899103e-01,7.729248491191231807e-01,7.705199077336437607e-01,7.726779418755448381e-01
8.320773485296684147e-01,9.384197727734424621e-01,9.068494224557842598e-01,7.282733272664438928e-01,7.852628939008616804e-01,7.866343549568340920e-01,7.858590679082105845e-01
8.466261031195950748e-01,9.483890226744043916e-01,9.413708097741390057e-01,7.034656565183018406e-01,7.940517056195168788e-01,7.915867840731918292e-01,7.926820089447959017e-01
7.945196392093594184e-01,9.353603295022688835e-01,9.195629145827747264e-01,7.938880327873313325e-01,8.397879374182092294e-01,8.415644902446530740e-01,8.402139539470437901e-01
8.503049682649768126e-01,9.337250673436764403e-01,9.013268496122806006e-01,7.368174319970179909e-01,7.921152340632124922e-01,7.945605972393311456e-01,7.930366641498922675e-01
8.511343430693757428e-01,9.285389924594075195e-01,9.381213877019835001e-01,7.701446685031726469e-01,8.149926688347690629e-01,8.148881519892975378e-01,8.148389494926178145e-01
8.315690090605997176e-01,9.421855237161704810e-01,9.229898595204046874e-01,7.250259045157001481e-01,7.875294826188320441e-01,7.908970755244716377e-01,7.887366259125954127e-01
8.595982646312368969e-01,9.361497067642863268e-01,9.338494789953126762e-01,7.834681306612252261e-01,8.289209147843127345e-01,8.297478829929930688e-01,8.285381239086846428e-01
8.165784428116157345e-01,9.380538104731659388e-01,9.241460442174441736e-01,7.672433228489072832e-01,8.097012618712365883e-01,8.100029341285402973e-01,8.098908392914114796e-01
8.714911643356488824e-01,9.384207208656593080e-01,9.009830860690054566e-01,6.070411639250262725e-01,7.181165189341103261e-01,7.121588337910239597e-01,7.144356343358595485e-01
8.776678937183640672e-01,9.396562689576863914e-01,9.045551320133738971e-01,5.914310610286911407e-01,7.156057837582868730e-01,7.121726698582059312e-01,7.132052701755939861e-01
8.304306227217455039e-01,9.280675910949811591e-01,9.051058120012128727e-01,7.898852021538261825e-01,8.334831398143863757e-01,8.352099220432421811e-01,8.341745322857362366e-01
8.678181708740673184e-01,9.392779723335568098e-01,8.996125213073981053e-01,7.398348111093079327e-01,7.800438451385165450e-01,7.765589785664386291e-01,7.791911972070943992e-01
8.538621656433689200e-01,9.435926654503741240e-01,8.938887120406107112e-01,5.423879440254241180e-01,6.690510008454484403e-01,6.605710905069285266e-01,6.643974545967820111e-01
8.489896697934572467e-01,9.360362102140020735e-01,8.966292819258794289e-01,6.340360880602172733e-01,7.501101954837824382e-01,7.399014518122039030e-01,7.448599154427985036e-01
8.784489513565819641e-01,9.391823117791554543e-01,9.060378191249162105e-01,8.116337459119178366e-01,8.700127580779711822e-01,8.696520413170819586e-01,8.716746219849343946e-01
8.152123199673994014e-01,9.416129657128393671e-01,9.240235852661505822e-01,7.383588362152548878e-01,7.973911989351027962e-01,8.001482395662226077e-01,7.978046099888899123e-01
8.645525227818426917e-01,9.424434566363879551e-01,8.933538153338627108e-01,7.445014974071638703e-01,8.412993739343869182e-01,8.407670395780075800e-01,8.388080621854154817e-01
8.528873858145822329e-01,9.452108736939667244e-01,9.046031922910370282e-01,5.931040628323271946e-01,7.251685552752431541e-01,7.087904944175026367e-01,7.172951016527031598e-01
8.497559392980867932e-01,9.434974259831948595e-01,8.880460285634693696e-01,7.232034359362261577e-01,7.687312964269638060e-01,7.658791726983734671e-01,7.679577909196694252e-01
8.164344483705963107e-01,9.369627814146465061e-01,9.023403732059569471e-01,7.823587274353406285e-01,8.241699969336784282e-01,8.226476390514051440e-01,8.240383878562589359e-01
8.049889281641267047e-01,9.324506630293368792e-01,9.236446760984227122e-01,7.697008590426169805e-01,8.184160058109133384e-01,8.201460760095948821e-01,8.191336947138051494e-01
8.482471158021925861e-01,9.404188021643351547e-01,8.950546669555723422e-01,5.372476991337151730e-01,6.541095565289285485e-01,6.462568960537568019e-01,6.489321040086734049e-01
8.511343430693758538e-01,9.285389924594074085e-01,9.381213877019835001e-01,7.701446685031723138e-01,8.149926688347692849e-01,8.148881519892978709e-01,8.148389494926183696e-01
