Xi_estimate_Power,Xi_estimate_Width,Xi_estimate_Exponent,Alpha_estimate_Power,Alpha_estimate_Width,Alpha_estimate_Exponent,Alpha_estimate_PAF
9.685048892456984970e-03,8.567652897993306427e-01,9.279883783789965035e-01,2.812738624664174077e-03,2.696351206308537224e-02,2.757321483966758066e-02,2.663697309633763013e-02
1.566651107848703040e-02,9.009858319680260630e-01,8.980634156993602124e-01,3.535616039243725389e-02,1.356721756308730820e-01,1.446695394098521659e-01,1.384975095242723386e-01
7.789015652697144423e-03,8.874070684110769713e-01,9.137761849671750536e-01,4.290930520374335727e-03,2.807827211731936043e-02,3.115627538159363927e-02,2.941665729665405779e-02
1.087184536279070246e-01,9.722486256933847715e-01,8.797384706744924010e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
2.753444528358523283e-02,9.516078403828974741e-01,8.761583375470221036e-01,5.875408812975821404e-02,2.293229414471071870e-01,2.302718700388724782e-01,2.291193321649151182e-01
1.116429707738151277e-02,9.488145233791259736e-01,8.755116792162445094e-01,1.136136688911319401e-02,6.541265842608211256e-02,7.694967772952160390e-02,7.062129163684560673e-02
6.296958455875964478e-02,8.572215123391185854e-01,9.340454911262481286e-01,2.736958615403609074e-01,5.405056384347016740e-01,5.506214756899754370e-01,5.333352422422268369e-01
4.871412834094526745e-02,9.313980542682339658e-01,8.974321342905163812e-01,2.545154290420847398e-01,4.782442389094823665e-01,4.914786973586280916e-01,4.796671579050147405e-01
1.972964373164799376e-02,9.710286398198096913e-01,8.516538727681982612e-01,5.065519214570366607e-02,2.063375648728069112e-01,2.373818188936986928e-01,2.194375292672906541e-01
9.383868705181912240e-02,7.447212221923206199e-01,9.833007802252693441e-01,3.011414126861335083e-02,1.074382396157209235e-01,1.073242413947008561e-01,1.029189511737328422e-01
1.448379168759000163e-02,7.737457422693133635e-01,9.553494199010320598e-01,3.749878877772701746e-04,3.944812914453115459e-03,3.620740788330934282e-03,3.622947024092293324e-03
8.453106842319085823e-02,7.196768394458668006e-01,9.796321225016380030e-01,1.181127220403287159e-02,7.645968688763922494e-02,7.629430369762935094e-02,7.208488020014408582e-02
5.288647126869725629e-02,7.467689306258072923e-01,9.722971078119918564e-01,2.885994966043733088e-03,2.316306570527117831e-02,2.248921871697829797e-02,2.155237731841185694e-02
6.533931486863865656e-02,8.032223733265353438e-01,9.374722408610242086e-01,1.745435201229887656e-02,8.549376693166126084e-02,8.772044056274894142e-02,8.214392947607726536e-02
3.060809808254728176e-02,8.389849363091290702e-01,9.159478631414323946e-01,3.329597832177914885e-02,9.266641657691480904e-02,1.029147753777370777e-01,9.298866787260040567e-02
4.571499180925402139e-02,8.277903132988867485e-01,9.540950617861512217e-01,1.524178234034002932e-01,3.111377757286383772e-01,3.127640213387739010e-01,3.035391500712444901e-01
6.035267623442200358e-02,7.339157495844238488e-01,9.690355444241239846e-01,1.162560173391537569e-02,8.138727485334379397e-02,8.217391922872060994e-02,7.779394829401875544e-02
2.999367138850489098e-02,9.097279836933298558e-01,9.020132096320508941e-01,3.251358437526661455e-02,1.784241184485418907e-01,2.004000003299081512e-01,1.862106189060198647e-01
1.948620170563344911e-02,8.563859446365500450e-01,9.312769836682679436e-01,2.516684224392005780e-03,2.053076056397142371e-02,2.230849206765020062e-02,2.065605000997837101e-02
1.613595012354068423e-02,9.040662216494503856e-01,8.782998572902943613e-01,2.547169505312922317e-03,1.968782707390660455e-02,2.272887144269464255e-02,2.073051927792487342e-02
3.248545472462001371e-02,8.647212906188423975e-01,9.193246141520847736e-01,3.330796665225975450e-02,1.491346956547263403e-01,1.709373320319265421e-01,1.542820473058150177e-01
6.969525393588769935e-02,7.345253084450220626e-01,9.515657116733204912e-01,5.628249264746984851e-03,3.482449779778877541e-02,3.143908749398089536e-02,3.032442837003863911e-02
3.059048888661963436e-02,8.025183971328353483e-01,9.360168830753337055e-01,3.225172915105863590e-03,1.451274113495593619e-02,1.617903481911858038e-02,1.450993990051623397e-02
5.839235884855400321e-02,7.769952270416377038e-01,9.717598077428014625e-01,2.370882244840364500e-02,1.572817649333222156e-01,1.644138438659183687e-01,1.561962449506930084e-01
5.366026231421433534e-02,7.524688430728351252e-01,9.532300738893098035e-01,2.154309680388908927e-03,1.335356082109886468e-02,1.303906356088177509e-02,1.206290781800216719e-02
6.420226273628740210e-02,7.670750157533766656e-01,9.318457337672246821e-01,3.250268466230958088e-03,1.661204217037769854e-02,1.537475098145142487e-02,1.465301330055187624e-02
1.892474263045256233e-01,8.017760807983504989e-01,9.391312431015756967e-01,2.208771199092448081e-02,9.590814375141026860e-02,8.172910542907355080e-02,8.264814131314747458e-02
2.193642163466975881e-02,8.412154293049012299e-01,9.426164409573246639e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
9.675483261244784833e-03,8.709728212750778020e-01,8.801391479208743318e-01,1.209391761981338468e-03,1.081851206856509692e-02,1.322446813998872511e-02,1.164784640578764990e-02
4.223564088402882027e-02,7.864896815721045265e-01,9.584292336167475890e-01,1.050372564253730656e-02,4.473284636723470764e-02,4.873805910147907539e-02,4.427545335894610828e-02
7.694114268922819244e-02,8.446854451758116777e-01,9.093735717909133820e-01,1.415598883327324597e-03,1.132055617860765716e-02,9.866257132653604919e-03,1.000501964937658937e-02
