Xi_estimate_Power,Xi_estimate_Width,Xi_estimate_Exponent,Alpha_estimate_Power,Alpha_estimate_Width,Alpha_estimate_Exponent,Alpha_estimate_PAF
7.863430594745615121e-01,9.491487487674317158e-01,9.026303590742742466e-01,7.900374383039295845e-01,8.412677824273758764e-01,8.419008683977210472e-01,8.419721429076358898e-01
8.489332211929874195e-01,9.274418289518139291e-01,9.307411438832211559e-01,7.707310654291819052e-01,8.277713217347495434e-01,8.290358528350026956e-01,8.281494483780319493e-01
8.489332211929875305e-01,9.274418289518139291e-01,9.307411438832208228e-01,7.707310654291816832e-01,8.277713217347497654e-01,8.290358528350025846e-01,8.281494483780319493e-01
8.514591235993920204e-01,9.255010837995319983e-01,9.341615473312403495e-01,7.701045784974299702e-01,8.273204474048414525e-01,8.285740658903323341e-01,8.277198101495479854e-01
8.686422913177046512e-01,9.159562656559571137e-01,9.328464323006124825e-01,7.817469884789199908e-01,8.283785415709851163e-01,8.291877287565583288e-01,8.291845682888253632e-01
8.514591235993920204e-01,9.255010837995321094e-01,9.341615473312402385e-01,7.701045784974297481e-01,8.273204474048412305e-01,8.285740658903322231e-01,8.277198101495480964e-01
7.925328342873010357e-01,9.341948221440019573e-01,9.202081807715257744e-01,7.790244944915819536e-01,8.337948653331690441e-01,8.369697834066646136e-01,8.351058922951589691e-01
8.486098536929564951e-01,9.271480392516400215e-01,9.329031892670728299e-01,7.685871465446203477e-01,8.273049356055499626e-01,8.294481987733305361e-01,8.280142136552598453e-01
8.696481559504423142e-01,9.264014360592361941e-01,9.350037492995576516e-01,7.634947920699495238e-01,8.187926311674650348e-01,8.205171996311044769e-01,8.195065344359195869e-01
8.584356521149445474e-01,9.506429125399524782e-01,8.781716481891800319e-01,7.762399204694278021e-01,8.234275910827750788e-01,8.240342395388539076e-01,8.240920342378059704e-01
8.606807703336265547e-01,9.489946555192917410e-01,8.793229718622874724e-01,7.253586406078553761e-01,7.880788009658434845e-01,7.910096347196330369e-01,7.894780855319792900e-01
8.570736524120547983e-01,9.496728873913040658e-01,8.775601945454852837e-01,7.261117736550554147e-01,7.883461925803573189e-01,7.910259318087553559e-01,7.896389657691684771e-01
8.658141344063351452e-01,9.513491250511438846e-01,8.769307511239108344e-01,7.228775293500122601e-01,7.843324446750205015e-01,7.867722653178402803e-01,7.856641453104312722e-01
8.408810813718459176e-01,9.487368269139038190e-01,8.820673691648327486e-01,7.342505701110634275e-01,8.005492504087439176e-01,8.056691724096141094e-01,8.025528272866305768e-01
8.619738305584777605e-01,9.539751391922496326e-01,9.185275900170909447e-01,7.116105234097641619e-01,8.100282179073431399e-01,8.125946488204872642e-01,8.109182087630971703e-01
7.977697619384616079e-01,9.422732842343286563e-01,9.119115355736276962e-01,8.052641257210425563e-01,8.531698296725130914e-01,8.565582047045791070e-01,8.546358558339818279e-01
8.590195036510724913e-01,9.473543163333751904e-01,8.770779035878275565e-01,7.485662509220147864e-01,8.094933275004707607e-01,8.154043379562525562e-01,8.118988491034706545e-01
8.474082462587289033e-01,9.336975030717283852e-01,9.300039895160534531e-01,7.769815669797752733e-01,8.288795862477900123e-01,8.307283998812488024e-01,8.294889255293246277e-01
8.430559406187010385e-01,9.512573138651474469e-01,9.010512909570302931e-01,7.327224982012792154e-01,8.038916764466070841e-01,8.102374427342610153e-01,8.064666393755675067e-01
8.507140419076473226e-01,9.412626054613577598e-01,9.202557284622610023e-01,7.883848622018120311e-01,8.416645207544115603e-01,8.437250016406362407e-01,8.418497401420463877e-01
8.256984992814420110e-01,9.503621451573398549e-01,9.101453097015049787e-01,7.730675000876064962e-01,8.222516176814033129e-01,8.251795504597490005e-01,8.236209792554175513e-01
8.806332218131154299e-01,9.535256977992322414e-01,8.795823667286168934e-01,6.080844144331427614e-01,7.303917940320647784e-01,7.332571545436427085e-01,7.305921319409584003e-01
8.872992834069297619e-01,9.528031313121075874e-01,8.773795679190120600e-01,5.975807524730105680e-01,7.348022052752629651e-01,7.398679315895048125e-01,7.360777926649040293e-01
8.393127500739475666e-01,9.441979418091410725e-01,8.884065200535896656e-01,8.001503201907136376e-01,8.475938408723125983e-01,8.511071344212327583e-01,8.491231675210919594e-01
8.754390284886489626e-01,9.562159821439871754e-01,8.799276333732679589e-01,7.401735236041560029e-01,7.921303810941660029e-01,7.935109205820899403e-01,7.926906158330208063e-01
8.679360552037441723e-01,9.569094314291606285e-01,8.740915036311961428e-01,5.470558767441434656e-01,6.829545296452456116e-01,6.844671567608869855e-01,6.827183177031714845e-01
8.615096786085973957e-01,9.507847034081757798e-01,8.848290148929556231e-01,6.379081831513433443e-01,7.693282283017748302e-01,7.701704569134170120e-01,7.688745149675056956e-01
8.870861888946762752e-01,9.521500650298593271e-01,8.914169165802152683e-01,8.219653147711171171e-01,8.720111486609269935e-01,8.774186833653274675e-01,8.758445506434636707e-01
8.203879685238395503e-01,9.479456095705984797e-01,9.068807525047276608e-01,7.423472794911394335e-01,8.127160582005719114e-01,8.182127265610955602e-01,8.144141393779719129e-01
8.733402681814348423e-01,9.548860772267681041e-01,8.607500297984096438e-01,7.242524021768369513e-01,8.488829482655360081e-01,8.510975580095025972e-01,8.478220552131607857e-01
8.622348484289841242e-01,9.580320314364940693e-01,8.936189155936269390e-01,5.955253106213445058e-01,7.366839917088723322e-01,7.300920934864274514e-01,7.334516091809066829e-01
8.616496366325017142e-01,9.572314013868508109e-01,8.688226585734822871e-01,7.242794427341208152e-01,7.808000069362414086e-01,7.824266718647450158e-01,7.813035120745134288e-01
8.283595358881896686e-01,9.509273912815789931e-01,8.840306892841472974e-01,7.849015087771147314e-01,8.336783022623917017e-01,8.343521827278300718e-01,8.343001647916579167e-01
8.130447110791739762e-01,9.420556086268920826e-01,9.098727233594439134e-01,7.775421782241571655e-01,8.325285542504675673e-01,8.365291213059506958e-01,8.342676231265471198e-01
8.615092168674906015e-01,9.525522271848696487e-01,8.839875535271847218e-01,5.457065614668736853e-01,6.735876628892669693e-01,6.767208895163985272e-01,6.735536717513295191e-01
8.474082462587287923e-01,9.336975030717281632e-01,9.300039895160537862e-01,7.769815669797751623e-01,8.288795862477897902e-01,8.307283998812489134e-01,8.294889255293242947e-01
