Xi_estimate_Power,Xi_estimate_Width,Xi_estimate_Exponent,Alpha_estimate_Power,Alpha_estimate_Width,Alpha_estimate_Exponent,Alpha_estimate_PAF
3.448539415095144833e-02,9.100059607512920312e-01,9.005545469645278578e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.658268884329270443e-02,8.830137347496036515e-01,9.253383858646717641e-01,3.081647261576321573e-02,9.431768633042886263e-02,1.011313902604674131e-01,9.759041451053115934e-02
3.163643741582901348e-02,8.743217558841366310e-01,9.042598674497448474e-01,1.567179300302628392e-03,7.910882512407235723e-03,8.667070140473352377e-03,8.371696628236337603e-03
4.064494769685512710e-01,8.968784316800966216e-01,9.480952065676158114e-01,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00
1.081006783252354692e-01,8.808429028079026724e-01,9.513873280659033149e-01,6.748044167377255376e-02,2.002104441123436496e-01,2.094966043654379051e-01,2.051814136200157401e-01
4.202736324194033396e-02,8.875255606243150908e-01,8.942109583230001268e-01,6.787872149305419940e-03,3.275905947003482366e-02,3.693862410054941925e-02,3.509083835140069246e-02
3.505787729833914068e-01,8.909657258826677584e-01,9.655032182629652571e-01,3.138449406652567553e-01,5.242711254602993032e-01,5.813491640279656592e-01,5.370762792481139636e-01
2.456852604159738829e-01,8.915504436539052335e-01,9.420249490263675751e-01,2.657266489582609248e-01,4.549628490650435841e-01,4.886456765713659833e-01,4.685943075476333708e-01
6.851038918640582620e-02,8.888866241393907908e-01,9.180845637108970836e-01,5.014294928281111396e-02,1.804660725870594340e-01,1.975809630009248974e-01,1.900192388455199943e-01
1.838964616029846733e-01,8.957245939698825765e-01,9.680737431988922781e-01,2.493212319891033313e-02,5.320583943060488985e-02,5.361347401852198380e-02,5.012555432572078640e-02
3.946752349343194549e-02,9.067583105609399174e-01,9.033232925917396017e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.027891716968437952e-01,9.145299210446793392e-01,9.483801034555991993e-01,4.375610873782210045e-03,2.479562925695309381e-02,2.586137676764796445e-02,2.359492611347876675e-02
1.528392635225787888e-01,9.296279842911572278e-01,9.029763531211896233e-01,5.852418595640601802e-03,2.255215230836716406e-02,2.852405885138664665e-02,2.364330380561501313e-02
